quizzes,solutions
900002081305900000004001057508190003700005004000060028800240700690380010070000060,967452381315978246284631957528194673736825194149763528851246739692387415473519862
030810005000020134096500700708100029002000506000430000500604008081009267079080000,234817695857926134196543782748165329312798546965432871523674918481359267679281453
032005014000080500590004027003050408000620009150400370040807900800132000007000006,632975814471286593598314627923751468784623159156498372245867931869132745317549286
000870001937000500400600000000280130070046000305190620063020905702500048100000700,526873491937412586418659273649285137271346859385197624863724915792561348154938762
083104060400250008500090000020000057650800901010067030000320000039706200700000014,283174569496253178571698423328419657657832941914567832845321796139746285762985314
030001060500084310209050807600803100804090000020000070305710000700600080960540002,438971265576284319219356847697823154854197623123465978385712496742639581961548732
050001060930570040108000020000100790002340000607000008001239005703608004560000200,254891367936572841178463529345186792892347156617925438481239675723658914569714283
000900010007200603025180400092400068064003050000000907000802100003070006050069720,486937512917254683325186479792415368864793251531628947679842135243571896158369724
100020060090780503052000009000600790730090008008500002500104030020009015604003080,173925864496781523852346179245638791731492658968517342589174236327869415614253987
041980006300042008020760500109400000674050001000000070710300060005800900806175030,541983726367542198928761543189437652674259381253618479712394865435826917896175234
500010000730009140040200306029801000000700013000000204090007605004600872650380090,586413729732569148941278356429831567865724913173956284298147635314695872657382491
160500207004080000300700560080193000090004081000000706703008050052400109006302004,168539247574286913329741568687193425295674381431825796743918652852467139916352874
060032500070000100018745036600008009930560001002010400084600090705009000000007023,469132578573896142218745936641278359937564281852913467384621795725389614196457823
050009730003000204942060100500208003100640000007003600008900067420010309090800500,851429736673581294942367158564278913139645872287193645318952467425716389796834521
807100005000040019096007002004050100019700026200300047905420000030060000060900803,847192365523648719196537482674259138319784526258316947985423671731865294462971853
230010809009500041400083002070020960000005700186704200705001000010000003042600080,237416859869572341451983672573128964924365718186794235795831426618247593342659187
002130640901007008060502700009000305500073000180400200300060050000080406007905001,752138649931647528864592713479216385526873194183459267318764952295381476647925831
061000003200094070005021060000002007809050300070030904180040005506780012003006090,961875243238694571745321869354962187819457326672138954187249635596783412423516798
005187204006400305010005090001600000508030047020900180009000000080020476704803002,935187264876492315412365798341678529598231647627954183259746831183529476764813952
040690500300000200610004807000038020000050760124970300098560070000200600030001004,842697513379815246615324897567138429983452761124976385498563172751249638236781954
700030094006000000500400801632008000070609500000014720004802010260950030100000065,718235694946187352523496871632578149471629583895314726354862917267951438189743265
003002007080000510700000600200450903039007000501080000090870400400620709650904008,163542897984736512725198634276451983839267145541389276392875461418623759657914328
000415000006800000000007039080720160000000203590031400003004786701902050408000000,839415627276893541145267839384729165617548293592631478923154786761982354458376912
003000041020590700680204005019380006300029000450007980000601070070030510200058030,593876241124593768687214395719385426368429157452167983935641872876932514241758639
009705004407003610800006090053900070000302108602001000030684207040000900008120300,369715824427893615815246793153968472794352168682471539931684257246537981578129346
060503009002900401010084030087000042009006500200000170400178090500030000300090268,764513829832967451915284637687351942149726583253849176426178395598632714371495268
050620009032970004001080730000009800008740900410500006690004028003000610000002007,754623189832971564961485732576219843328746951419538276697154328243897615185362497
800021049370640010000900005000008100092470003650002070540300002786050400000000600,865721349379645218214983765437598126192476583658132974541367892786259431923814657
700069080068000030004002050200045008003790406010030900007000500931004000040126700,752369184168457239394812657279645318583791426416238975627983541931574862845126793
010080070307200004090306020600001030001859002482007091000000000078500003003048760,215984376367215984894376125659421837731859642482637591146793258978562413523148769
006007800705000001010539040420000097000860400050904102031008200000620079007400500,396147825745286931812539746428315697179862453653974182931758264584621379267493518
008310040460005900012900708000000512850092000070036000703800069080040100006020305,598317246467285931312964758639478512854192673271536894723851469985643127146729385
